DID,MPDW,DPW,GOOD_WAFER,CQDR_WAFER,SQDR_WAFER,PLANNED_QDR_WAFER,GOOD_WAFER_PERCENT,CQDR_WAFER_PERCENT,SQDR_WAFER_PERCENT,PLANNED_QDR_WAFER_PERCENT,GOOD_DIE,CQDR_DIE,Total_shipped_die,SQDR_DIE,PLANNED_QDR_DIE,SQDR NCD Percent
Z11M,1178,1178.0,0,0,0,0,nan%,nan%,nan%,nan%,0,0,0,0,0,nan%
Z11B,1296,1296.0,0,0,0,0,nan%,nan%,nan%,nan%,0,0,0,0,0,nan%
Z1AM,1503,1503.0,0,0,0,0,nan%,nan%,nan%,nan%,0,0,0,0,0,nan%
Z19M,3358,3358.0,932,0,0,3,99.64%,0.00%,0.00%,0.36%,2796938,0,2796938,0,169,0.00%
Z41C,2488,2277.0,1069,7,2,19,97.43%,0.66%,0.18%,1.73%,2515981,16891,2532872,4554,0,0.18%
Z42M,1232,1099.0,2606,3,13,20,98.63%,0.11%,0.50%,0.76%,2807792,2945,2810737,14507,1110,0.52%
Z42N,1232,1232.0,5167,2,0,10,99.77%,0.03%,0.00%,0.20%,5425549,1510,5427059,0,0,0.00%
Z42B,1335,1180.0,320,0,5,23,91.73%,0.11%,1.44%,6.72%,374929,466,375395,5900,1546,1.57%
Y4BM,1582,1444.0,3553,0,6,14,99.43%,0.01%,0.17%,0.39%,5082173,576,5082749,8953,3389,0.18%
Y42M,1200,1080.0,9032,6,20,51,99.15%,0.07%,0.22%,0.56%,9601404,6230,9607634,21816,420,0.23%
Z4BM,1622,1419.0,192,0,2,2,97.86%,0.20%,1.02%,0.92%,274566,599,275165,2838,0,1.03%
Y4CA,885,885.0,44,1,0,1,95.24%,1.73%,0.00%,3.03%,33561,619,34180,0,0,0.00%
Z41M,2132,1893.0,145,0,0,4,96.92%,0.00%,0.13%,2.95%,278449,0,278449,379,0,0.14%
Y52K,1789,1626.0,14682,21,47,598,95.66%,0.14%,0.31%,3.90%,24317361,34189,24351550,77072,31889,0.32%
Y53A,882,747.0,216,4,3,20,88.76%,1.48%,1.39%,8.37%,161040,2611,163651,2540,443,1.55%
Y5CB,1200,1026.0,828,1,5,45,94.15%,0.16%,0.57%,5.12%,891023,1521,892544,5130,16652,0.57%
Y52N,1714,1555.0,2937,3,5,34,98.58%,0.11%,0.17%,1.14%,4567263,4899,4572162,7775,336,0.17%
T51G,2426,2114.0,945,0,4,10,98.50%,0.02%,0.40%,1.08%,2063758,442,2064200,8032,0,0.39%
E5CA,570,456.0,4063,0,10,468,89.47%,0.00%,0.23%,10.30%,1967273,0,1967273,4742,2957,0.24%
Y62E,2291,1734.0,2132,5,17,341,85.46%,0.21%,0.68%,13.65%,3749475,8374,3757849,29485,32098,0.78%
Y62P,2214,1547.0,829,0,4,338,70.78%,0.00%,0.31%,28.91%,1153285,0,1153285,5569,79482,0.48%
